ITT590 ,SENIBINA SISTEM KOMPUTER ,0,2,2
ITT593 ,PENGENALAN KEPADA FORENSIK DIGITAL ,2,0,2
ITT633 ,TEKNOLOGI DAN PERKHIDMATAN RANGKAIAN KAWASAN LUAS ,2,0,2
ITT651 ,PENGHALAAN IP ,2,0,2
ITT771 ,REKA BENTUK DAN PENGURUSAN RANGKAIAN LANJUTAN ,0,0,3
ITT773 ,RANGKAIAN KELAJUAN TINGGI ,0,0,3
ITT783 ,PERMODELAN PRESTASI RANGKAIAN ,0,0,3
ITT784 ,TEKNOLOGI ANTARA RANGKAIAN ,0,0,3
ITT785 ,RANGKAIAN TANPA WAYAR LANJUTAN ,0,0,3
ITT786 ,PENGATURCARAAN RANGKAIAN LANJUTAN ,0,0,3
ITT787 ,SISTEM SERENTAK DAN TERAGIH ,0,0,3
ITT788 ,KESELAMATAN RANGKAIAN LANJUTAN ,0,0,3
ITT796 ,DISERTASI ,0,0,3
ITT798 ,METODOLOGI PENYELIDIKAN UNTUK SAINS PENGKOMPUTERAN ,0,0,3
MAT112 ,MATEMATIK PERNIAGAAN ,0,0,2
MAT117 ,MATEMATIK ,0,0,2
MAT417 ,<TIADA MAKLUMAT> ,0,1,2
MAT421 ,KALKULUS I ,1,2,1
MAT422 ,LOGIK MATEMATIK DAN TEKNIK PEMBUKTIAN ,0,1,2
MAT423 ,ALJABAR LINEAR I ,0,1,2
MAT435 ,KALKULUS UNTUK JURUTERA ,0,1,2
MAT438 ,MATEMATIK GUNAAN ASAS ,0,1,2
MAT441 ,KALKULUS II ,0,1,2
MAT455 ,KALKULUS LANJUTAN UNTUK JURUTERA ,0,1,2
MAT491 ,KALKULUS III ,1,1,2
MAT495 ,DERIVATIF SEPARA DAN KAEDAH ANGGARAN ,0,1,1
MAT522 ,PERSAMAAN PEMBEZAAN BIASA ,1,1,1
MAT523 ,ALJABAR LINEAR II ,1,0,2
MAT530 ,PENGENALAN PERMODELAN MATEMATIK ,0,0,2
MAT538 ,MATEMATIK GUNAAN ,0,0,2
MAT560 ,KALKULUS VEKTOR ,1,0,2
MAT565 ,PERSAMAAN PEMBEZAAN LANJUTAN ,0,1,1
MAT571 ,ANALISIS NYATA ,0,1,1
MAT575 ,PENGENALAN KEPADA ANALISIS BERANGKA ,1,1,2
MAT578 ,KAEDAH BERMATEMATIK ,0,1,2
MAT580 ,PERSAMAAN PEMBEZAAN LANJUTAN ,0,1,1
MAT583 ,KAEDAH BERANGKA GUNAAN ,0,0,2
MAT612 ,PERSAMAAN PEMBEZAAN SEPARA ,1,0,1
MAT631 ,ANALISIS KOMPLEKS DENGAN ANALISIS BERKOMPUTER ,1,0,2
MAT652 ,STRUKTUR ALJABAR ,0,1,2
MAT700 ,MATEMATIK PENGKOMPUTERAN ,0,0,2
MAT707 ,PENGATURCARAAN MATEMATIK ,0,0,2
MAT708 ,PEMODELAN KABUR UNTUK KEWANGAN DAN PENGURUSAN ,0,0,2
MAT710 ,MATEMATIK KEWANGAN ,0,0,2
MAT712 ,KAEDAH PERBEZAAN TERHINGGA UNTUK PERSAMAAN PEMBEZA SEPARA ,0,0,2
MAT715 ,ASAS ANALISIS BERANGKA ,0,0,2
MAT720 ,MEKANIK BENDALIR DAN PEMINDAHAN HABA/JISIM ,0,0,2
MAT723 ,TEORI MATRIKS ,0,0,2
MAT725 ,SISTEM BERDINAMIK ,0,0,2
MAT738 ,KAEDAH BERMATEMATIK LANJUTAN ,0,0,2
MAT740 ,MATEMATIK DALAM PENGURUSAN RISIKO KEWANGAN ,0,0,2
MAT769 ,DISERTASI ,0,0,2
MGT400 ,PENGENALAN KEPADA PENGURUSAN ,0,0,3
MGT420 ,PRINSIP DAN AMALAN PENGURUSAN ,0,3,0
MGT790 ,PENGURUSAN STRATEGIK ,0,0,3
MKT404 ,PEMASARAN ,0,0,2
MRD501 ,PEMPROSESAN IMEJ DIGITAL I ,0,0,2
MRD531 ,PEMPROSESAN IMEJ DIGITAL II ,2,0,2
MSP660 ,PROJEK TAHUN AKHIR ,0,1,1
MST699 ,LATIHAN INDUSTRI ,0,0,1
PHI454 ,SEJARAH DAN FALSAFAH SAINS ,0,0,3
PHY431 ,FIZIK II ,0,0,1
PTD52 ,Jawatankuasa (Fakulti) ,0,0,2
QMT211 ,STATISTIK BERMATEMATIK I ,0,2,2
QMT261 ,STATISTIK BERMATEMATIK II ,0,0,2
QMT425 ,ANALISIS KUANTITATIF PERNIAGAAN ,0,0,3
QMT437 ,PENYELIDIKAN OPERASI ,1,0,1
QMT533 ,EKONOMETRIK ,1,0,0
QMT556 ,PENGURUSAN KEWANGAN KUANTITATIF ,0,0,3
QMT572 ,APPLIKASI KAWALAN MUTU BERSTATISTIK ,0,0,2
QMT634 ,SIMULASI ,0,0,2
QMT660 ,ANALISIS STATISTIK UNTUK PENGURUS ,0,0,3
